aam a dutch and german measure of liquids varying in different cities being at amsterdam about  wine gallons at antwerp   at hamburg
agallochum	a soft resinous wood aquilaria agallocha of highly aromatic smell burnt by the orientals as a perfume it is called also agalwood and aloes wood the name is also given to some other species
agami	a south american bird psophia crepitans allied to the cranes and easily domesticated  called also the goldbreasted trumpeter its body is about the size of the pheasant see trumpeter
agamogenesis	reproduction without the union of parents of distinct sexes asexual reproduction
agaragar	a fucus or seaweed much used in the east for soups and jellies ceylon moss gracilaria lichenoides
age	the whole duration of a being whether animal vegetable or other kind lifetime
agency	the faculty of acting or of exerting power the state of being in action action instrumentality
aggeration	a heaping up accumulation as aggerations of sand
agglutination	the act of uniting by glue or other tenacious substance the state of being thus united adhesion of parts
aggrandizement	the act of aggrandizing or the state of being aggrandized or exalted in power rank honor or wealth exaltation enlargement as the emperor seeks only the aggrandizement of his own family
aggression	the first attack or act of hostility the first act of injury or first act leading to a war or a controversy unprovoked attack assault as a war of aggression aggressions of power
agiotage	exchange business also stockjobbing the maneuvers of speculators to raise or lower the price of stocks or public funds
agistment	formerly the taking and feeding of other mens cattle in the kings forests
agitation	the act of agitating or the state of being agitated the state of being moved with violence or with irregular action commotion as the sea after a storm is in agitation
aiglet	a tag of a lace or of the points braids or cords formerly used in dress they were sometimes formed into small images hence aglet baby shak an aglet image
agnation	consanguinity by a line of males only as distinguished from cognation
agora	an assembly hence the place of assembly especially the market place in an ancient greek city
agouty	a rodent of the genus dasyprocta about the size of a rabbit peculiar to south america and the west indies the most common species is the dasyprocta agouti
agrarianism	an equal or equitable division of landed property the principles or acts of those who favor a redistribution of land
agricolist	a cultivator of the soil an agriculturist
agriculture	the art or science of cultivating the ground including the harvesting of crops and the rearing and management of live stock tillage husbandry farming
agronomist	one versed in agronomy a student of agronomy
agrostology	that part of botany which treats of the grasses
aigrette	the small white european heron see egret
ailette	a small square shield formerly worn on the shoulders of knights  being the prototype of the modern epaulet
airing	a walk or a ride in the open air a short excursion for healths sake
aisle	a lateral division of a building separated from the middle part called the nave by a row of columns or piers which support the roof or an upper wall containing windows called the clearstory wall
alamire	the lowest note but one in guido aretinos scale of music
alanine	a white crystalline base chno derived from aldehyde ammonia
alban	a white crystalline resinous substance extracted from guttapercha by the action of alcohol or ether
albedo	whiteness specifically astron the ratio which the light reflected from an unpolished surface bears to the total light falling upon that surface
albinism	the state or condition of being an albino abinoism leucopathy
albite	a mineral of the feldspar family triclinic in crystallization and in composition a silicate of alumina and soda it is a common constituent of granite and of various igneous rocks see feldspar
albuminate	a substance produced by the action of an alkali upon albumin and resembling casein in its properties also a compound formed by the union of albumin with another substance
albuminose	a diffusible substance formed from albumin by the action of natural or artificial gastric juice see peptone
alburn	the bleak a small european fish having scales of a peculiarly silvery color which are used in making artificial pearls
alcanna	an oriental shrub lawsonia inermis from which henna is obtained
alchemy	an imaginary art which aimed to transmute the baser metals into gold to find the panacea or universal remedy for diseases etc it led the way to modern chemistry
alcoholate	a crystallizable compound of a salt with alcohol in which the latter plays a part analogous to that of water of crystallization
alcoholism	a diseased condition of the system brought about by the continued use of alcoholic liquors
alcoholometry	the process or method of ascertaining the proportion of pure alcohol which spirituous liquors contain
alcove	a recessed portion of a room or a small room opening into a larger one especially a recess to contain a bed a lateral recess in a library
